,venue
3382,embedded systems for real-time multimedia
3383,non photorealistic animation and rendering
3384,Ibm Journal of Research and Development
3385,principles of security and trust
3386,The Kips Transactions:partc
3387,Procedia Engineering
3388,spring conference on computer graphics
3389,european symposium on research in computer security
3390,Advances in Physics
3391,J3ea
3392,Journal of Intelligent Manufacturing
3393,international symposium on computer modeling measurement and evaluation
3394,Journal of Software Engineering Research and Development
3395,Siam Journal on Imaging Sciences
3396,computer software and applications conference
3397,applied perception in graphics and visualization
3398,graph drawing
3399,Journal of Physics A
3400,digital systems design
3401,self adaptive and self organizing systems
3402,Abdominal Imaging
3403,formal techniques for (networked and) distributed systems
3404,conference on intelligent text processing and computational linguistics
3405,IEEE Journal on Selected Areas in Communications
3406,computer animation and social agents
3407,International Journal of Mechatronics and Manufacturing Systems
3408,international conference on embedded software and systems
3409,ACM Crossroads Student Magazine
3410,international provenance and annotation workshop
3411,Applicable Analysis
3412,Computational Complexity
3413,computer algebra in scientific computing
3414,Nonlinearity
3415,Cybernetics and Systems Analysis
3416,Encephale-revue De Psychiatrie Clinique Biologique Et Therapeutique
3417,software engineering and advanced applications
3418,Science Education
3419,text speech and dialogue
3420,Netherlands Heart Journal
3421,Journal of Internet Services and Applications
3422,Fuzzy Optimization and Decision Making
3423,web services and formal methods
3424,Journal of Communications
3425,American Journal of Human Genetics
3426,International Journal of Robust and Nonlinear Control
3427,International Journal of Digital Evidence
3428,Sensors and Actuators A-physical
3429,Social Networks
3430,international conference on multimedia retrieval
3431,international conference on education technology and computer
3432,autonomic computing and communication systems
3433,Molecular Physics
3434,"compilers, architecture, and synthesis for embedded systems"
3435,Publications of The Research Institute for Mathematical Sciences
3436,database programming languages
3437,Journal of Hydroinformatics
3438,Computer Aided Surgery
3439,Statistical Papers
3440,web reasoning and rule systems
3441,Journal of Inequalities and Applications
3442,Journal of Guidance Control and Dynamics
3443,Proceedings of the American Mathematical Society
3444,multimedia interaction design and innovation
3445,International Journal of Data Warehousing and Mining
3446,Geophysical Research Letters
3447,Journal of Immunology
3448,Japan Journal of Industrial and Applied Mathematics
3449,Statistica Sinica
3450,arXiv: Computational Geometry
3451,Iet Generation Transmission & Distribution
3452,Social Studies of Science
3453,The American Statistician
3454,IEEE Transactions on Automation Science and Engineering
3455,IEEE Software
3456,Siam Journal on Financial Mathematics
3457,canadian conference on electrical and computer engineering
3458,Renewable Energy
3459,requirements engineering foundation for software quality
3460,European Journal of Applied Mathematics
3461,Computer Methods in Biomechanics and Biomedical Engineering
3462,International Journal for Numerical Methods in Biomedical Engineering
3463,visualizing software for understanding and analysis
3464,Journal of Computational and Applied Mathematics
3465,arXiv: Performance
3466,arXiv: Digital Libraries
3467,arXiv: Instrumentation and Methods for Astrophysics
3468,Algorithms
3469,software and compilers for embedded systems
3470,Markov Processes and Related Fields
3471,international workshop on rfid technology
3472,high performance computer architecture
3473,Artificial Intelligence in Engineering
3474,international conference on computational linguistics
3475,Optical Review
3476,Ecological Modelling
3477,Journal of Logic and Computation
3478,Journal of Applied Sciences
3479,international work-conference on artificial and natural neural networks
3480,interactive theorem proving
3481,semantics and digital media technologies
3482,Transportation Science
3483,Journal of Ultrasound in Medicine
3484,"broadband communications, networks and systems"
3485,Physical Review Letters
3486,foundations of computer science
3487,Policy & Internet
3488,Eurasip Journal on Embedded Systems
3489,Information Retrieval
3490,Engineering
3491,Society
3492,Journal of Central South University
3493,Psycho-oncology
3494,prague stringology conference
3495,Perspectives on Psychological Science
3496,Studies in Mycology
3497,international conference on e-business
3498,non-linear speech processing
3499,Advances in Human Factors\/ergonomics
3500,web search and data mining
3501,biomedical engineering systems and technologies
3502,Research Policy
3503,Frontiers in Education
3504,Ima Journal of Applied Mathematics
3505,Journal of Health Communication
3506,Pamm
3507,Journal of Statistical Software
3508,Program: Electronic Library and Information Systems
3509,international conference on social computing
3510,Neurology
3511,Vietnam Journal of Computer Science
3512,International Journal of Grid and High Performance Computing
3513,intelligent networking and collaborative systems
3514,Information Systems and E-business Management
3515,"International Journal of Technology, Policy and Management"
3516,Journal of Raman Spectroscopy
3517,International Journal of Intelligent Computing and Cybernetics
3518,IEEE Aerospace and Electronic Systems Magazine
3519,International Journal of Decision Support System Technology
3520,agent and multi agent systems technologies and applications
3521,Statistics & Probability Letters
3522,Applied Mathematics & Information Sciences
3523,Mathematical Communications
3524,Signal Processing
3525,International Journal of Remote Sensing
3526,"computer graphics, virtual reality, visualisation and interaction in africa"
3527,"sensor, mesh and ad hoc communications and networks"
3528,Russian Mathematics
3529,Artificial Life
3530,arXiv: Fluid Dynamics
3531,international geoscience and remote sensing symposium
3532,Journal of The Ergonomics Society of Korea
3533,Theory of Computing
3534,Journal of Systems Science and Systems Engineering
3535,international work conference on the interplay between natural and artificial computation
3536,Evolutionary Intelligence
3537,Health Informatics Journal
3538,The Vldb Journal
3539,Topoi-an International Review of Philosophy
3540,Physics Procedia
3541,international symposium on multiple-valued logic
3542,Concurrent Engineering
3543,Naval Research Logistics
3544,international conference on computational science and its applications
3545,new security paradigms workshop
3546,Computer Methods and Programs in Biomedicine
3547,Computational Methods and Function Theory
3548,International Journal of Services and Standards
3549,Research Evaluation
3550,Algorithms for Molecular Biology
3551,pattern recognition and machine intelligence
3552,international cryptology conference
3553,canadian conference on artificial intelligence
3554,Renewable & Sustainable Energy Reviews
3555,"International Journal of Intelligent Systems in Accounting, Finance & Management"
3556,At-automatisierungstechnik
3557,Wuhan University Journal of Natural Sciences
3558,The Lancet
3559,Internet Mathematics
3560,neural information processing systems
3561,Food Chemistry
3562,european conference on knowledge management
3563,Its Journal
3564,Tellus B
3565,Letters in Mathematical Physics
3566,ubiquitous computing systems
3567,Japanese Journal of Psychology
3568,Frontiers in Neural Circuits
3569,IEEE Transactions on Information Technology in Biomedicine
3570,Management of Environmental Quality: An International Journal
3571,international conference on cloud computing and services science
3572,Social Choice and Welfare
3573,Science
3574,Annals of Physics
3575,International Journal of Surgery
3576,Software Focus
3577,international workshop on computational forensics
3578,Computer Graphics Forum
3579,Journal of Group Theory
3580,Journal of Software: Evolution and Process
3581,International Journal of Information Technology and Management
3582,Computer Compacts
3583,British Journal of Mathematical and Statistical Psychology
3584,nature and biologically inspired computing
3585,Ipsj Transactions on Computer Vision and Applications
3586,international conference on supercomputing
3587,International Journal of Learning Technology
3588,arXiv: Discrete Mathematics
3589,Multimedia Systems
3590,Journal of Aerospace Information Systems
3591,Journal of Phonetics
3592,Journal of Digital Imaging
3593,Materials Science & Engineering R-reports
3594,Computer Methods in Applied Mechanics and Engineering
3595,Bulletin of The Iranian Mathematical Society
3596,Eurasip Journal on Information Security
3597,international conference on software and data technologies
3598,international symposium on visual computing
3599,pacific rim conference on multimedia
3600,Optimization
3601,Interdisciplinary Description of Complex Systems
3602,Frontiers in Research Metrics and Analytics
3603,international workshop on principles of software evolution
3604,symposium on theoretical aspects of computer science
3605,Interfaces and Free Boundaries
3606,"swarm, evolutionary, and memetic computing"
3607,New Review of Hypermedia and Multimedia \/ Hypermedia
3608,International Journal of Web Services Research
3609,belgium-netherlands conference on artificial intelligence
3610,International Journal of Electronic Security and Digital Forensics
3611,"high performance computing, networking and communication systems"
3612,international workshop on security
3613,international conference on ubiquitous information management and communication
3614,"international conference on automation, robotics and applications"
3615,international conference on computer vision and graphics
3616,Automatica
3617,data warehousing and knowledge discovery
3618,international conference on knowledge discovery and information retrieval
3619,Applied Mathematics-a Journal of Chinese Universities Series B
3620,parallel computing
3621,european conference on principles of data mining and knowledge discovery
3622,International Journal of Digital Curation
3623,Business Horizons
3624,IEEE Transactions on Wireless Communications
3625,vlsi design and test
3626,international symposium on computers and communications
3627,"Sustainable Energy, Grids and Networks"
3628,logical aspects of computational linguistics
3629,nano/micro engineered and molecular systems
3630,international conference on design of communication
3631,Journal of Advanced Transportation
3632,international conference on computers in education
3633,Canadian Journal of Statistics-revue Canadienne De Statistique
3634,fundamentals of computation theory
3635,Journal of Organizational and End User Computing
3636,Physical Review A
3637,Building and Environment
3638,Methods
3639,Advanced Robotics
3640,international conference on the digital society
3641,computer recognition systems
3642,"International Journal of Systems, Control and Communications"
3643,Fractional Calculus and Applied Analysis
3644,Synthese
3645,knowledge science engineering and management
3646,international workshop on quality of service
3647,field programmable gate arrays
3648,asia information retrieval symposium
3649,Monthly Weather Review
3650,Neurocomputing
3651,arXiv: Symbolic Computation
3652,Theoretical Computer Science
3653,Behavior Research Methods Instruments & Computers
3654,Duke Mathematical Journal
3655,IEEE Transactions on Intelligent Transportation Systems
3656,usenix conference on file and storage technologies
3657,International Journal of Energy Technology and Policy
3658,International Journal of Human-computer Studies \/ International Journal of Man-machine Studies
3659,computer based medical systems
3660,ACM Sigite Newsletter
3661,International Journal of Knowledge Society Research
3662,"Pharmacology, Biochemistry and Behavior"
3663,Nederlands Tijdschrift Voor Tandheelkunde
3664,Egyptian Informatics Journal
3665,research in computational molecular biology
3666,Automatisierungstechnik
3667,international conference on computational advances in bio and medical sciences
3668,Journal of Natural Gas Science and Engineering
3669,Neural Network World
3670,Ima Journal of Mathematical Control and Information
3671,Journal D Analyse Mathematique
3672,international conference on machine learning and cybernetics
3673,designing for user experiences
3674,ACM Transactions on Information Systems
3675,IEEE Transactions on Consumer Electronics
3676,document recognition and retrieval
3677,Journal of Chemometrics
3678,Electronic Transactions on Numerical Analysis
3679,pervasive technologies related to assistive environments
3680,arXiv: General Mathematics
3681,Journal of Fluids and Structures
3682,biologically inspired cognitive architectures
3683,Journal of Mathematical Modelling and Algorithms
3684,Physica D: Nonlinear Phenomena
3685,Journal of Information Processing
3686,ieee international conference on high performance computing data and analytics
3687,International Journal of Control
3688,International Journal of Ubicomp
3689,electronic government
3690,international symposium on autonomous decentralized systems
3691,International Journal of Combinatorics
3692,ACM Transactions on Cyber-Physical Systems
3693,ACM Sigevolution
3694,Game Studies
3695,Algebra Colloquium
3696,Genetics and Molecular Research
3697,software engineering approaches for offshore and outsourced development
3698,Marketing Science
3699,international conference on internet and web applications and services
3700,Review of Policy Research
3701,Interface Focus
3702,IEEE Transactions on Systems Science and Cybernetics
3703,Sigecom Exchanges
3704,ACM Transactions on Spatial Algorithms and Systems
3705,model driven engineering languages and systems
3706,arXiv: Methodology
3707,Communications of The ACM
3708,Nature Materials
3709,arXiv: Metric Geometry
3710,"international conference / workshop on embedded computer systems: architectures, modeling and simulation"
3711,BMC Medical Research Methodology
3712,medical image computing and computer assisted intervention
3713,Ecological Complexity
3714,Tetrahedron
3715,Geoscientific Model Development Discussions
3716,Mathematical & Computational Applications
3717,Journal of Applied Mathematics and Decision Sciences
3718,Habitat International
3719,advances in social networks analysis and mining
3720,IEEE Internet Computing
3721,workshop on algorithms and models for the web-graph
3722,arXiv: Quantum Physics
3723,memory technology design and testing
3724,IEEE Transactions on Antennas and Propagation
3725,Gene
3726,Robot
3727,international work conference on artificial and natural neural networks
3728,IEEE Access
3729,acm multimedia
3730,Medical & Biological Engineering & Computing
3731,social informatics
3732,Open House International
3733,Discrete Mathematics & Theoretical Computer Science
3734,theorem proving with analytic tableaux and related methods
3735,International Journal of Data Mining and Bioinformatics
3736,Journal of Micromechanics and Microengineering
3737,Biology
3738,Journal of Combinatorial Theory
3739,arXiv: Functional Analysis
3740,Journal of Financial Services Research
3741,Biochimica et Biophysica Acta
3742,Mechanism and Machine Theory
3743,IEEE Lts
3744,"International Journal of Service Science, Management, Engineering, and Technology"
3745,The Journal of Supercomputing
3746,european conference on computer vision
3747,Applied Informatics
3748,arXiv: Atmospheric and Oceanic Physics
3749,scalable uncertainty management
3750,World Wide Web
3751,Journal of Advances in Information Fusion
3752,next generation internet
3753,Chicago Journal of Theoretical Computer Science
3754,IEEE Transactions on Information Forensics and Security
3755,advances in model based software testing
3756,"computational intelligence for modelling, control and automation"
3757,Epj Web of Conferences
3758,international conference on multimedia computing and systems
3759,International Journal of Metaheuristics
3760,Synthesis Lectures on Communication Networks
3761,Best Practice & Research in Clinical Obstetrics & Gynaecology
3762,signal image technology and internet based systems
3763,Glasnik Matematicki
3764,Journal of The Chinese Institute of Engineers
3765,model-based methodologies for pervasive and embedded software
3766,Computers in Human Behavior
3767,International Journal of Business Intelligence and Data Mining
3768,workshop on parallel and distributed simulation
3769,"principles, systems and applications of ip telecommunications"
3770,Topology and its Applications
3771,International Journal of Information Communication Technologies and Human Development
3772,Language in Society
3773,Neural Processing Letters
3774,European Urology
3775,conference on computer supported cooperative work
3776,information security and assurance
3777,International Journal of Information Technology and Decision Making
3778,international conference on parallel and distributed systems
3779,Journal of Renewable and Sustainable Energy
3780,ACM Sigbio Newsletter
3781,Systems & Control Letters
3782,Esaim: Probability and Statistics
3783,the european symposium on artificial neural networks
3784,IEEE\/ASME Journal of Microelectromechanical Systems
3785,Journal of Computer Science
3786,ieee international conference on fuzzy systems
3787,Journal of Complex Networks
3788,arXiv: Cellular Automata and Lattice Gases
3789,distributed applications and interoperable systems
3790,symposium on code generation and optimization
3791,Information Sciences
3792,Rendiconti Lincei-matematica E Applicazioni
3793,Applied Mathematics Letters
3794,data management on new hardware
3795,international conference on hybrid learning and education
3796,Journal of Combinatorial Designs
3797,next generation mobile applications services and technologies
3798,pervasive computing technologies for healthcare
3799,symposium on applied computational intelligence and informatics
3800,Corpus Linguistics and Linguistic Theory
3801,international conference on adaptive and natural computing algorithms
3802,worst-case execution time analysis
3803,Grana
3804,Briefings in Bioinformatics
3805,arXiv: Systems and Control
3806,Stochastic Environmental Research and Risk Assessment
3807,Journal of Clinical Virology
3808,Journal of Computational Electronics
3809,cryptology and network security
3810,Object Oriented Systems
3811,Journal of Scholarly Publishing
3812,international conference on artificial intelligence and law
3813,Advances in Computing Research
3814,Machine Translation
3815,The Ergonomics Open Journal
3816,Journal of Minimally Invasive Gynecology
3817,international joint conference on natural language processing
3818,computational intelligence and data mining
3819,Concurrency and Computation: Practice and Experience
3820,formal techniques for networked and distributed systems
3821,Semiotica
3822,finite state methods and natural language processing
3823,International Journal of Communication Systems
3824,Canadian Journal of Electrical and Computer Engineering-revue Canadienne De Genie Electrique Et Informatique
3825,international workshop conference on parsing technologies
3826,high performance computing and communications
3827,Information and Organization
3828,European Journal of Protistology
3829,Emisa Forum
3830,"International Journal of Ad Hoc, Sensor & Ubiquitous Computing"
3831,Scientific Journal of Riga Technical University. Computer Sciences
3832,ACM Journal of Computer Documentation
3833,international workshop/conference on parsing technologies
3834,Displays
3835,aspect-oriented software development
3836,Review of Finance
3837,arXiv: Other Statistics
3838,custom integrated circuits conference
3839,european conference on circuit theory and design
3840,Research Letters in Communications
3841,Communications of The IbIMA
3842,Computers & Industrial Engineering
3843,Smart Materials and Structures
3844,Personality and Social Psychology Bulletin
3845,Future Generation Computer Systems
3846,Applied Energy
3847,adaptive multimedia retrieval
3848,Integers
3849,Public Library Quarterly
3850,tbilisi symposium on logic language and computation
3851,IEEE Transactions on Signal Processing
3852,IEEE Consumer Electronics Magazine
3853,latin american symposium on theoretical informatics
3854,Journal of Translational Medicine
3855,International Journal of Machine Consciousness
3856,The Imaging Science Journal
3857,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
3858,Theory and Practice of Logic Programming
3859,"next generation mobile applications, services and technologies"
3860,Knowledge and Process Management
3861,collaboration technologies and systems
3862,arXiv: Applications
3863,workshop on graph theoretic concepts in computer science
3864,international conference on parallel processing
3865,Computación Y Sistemas
3866,pacific rim symposium on image and video technology
3867,robot soccer world cup
3868,Journal of Hydrology
3869,Journal of Mathematical Chemistry
3870,Asian-european Journal of Mathematics
3871,international conference on machine learning
3872,International Journal of Information Technology and Computer Science
3873,Scanning
3874,Communication Research
3875,BMC Systems Biology
3876,OR Insight
3877,BMC Immunology
3878,Ecography
3879,Ideas in Ecology and Evolution
3880,robotics: science and systems
3881,hardware-oriented security and trust
3882,Cartography and Geographic Information Science
3883,international symposium on memory management
3884,Information Economics and Policy
3885,Foundations and Trends in Databases
3886,international conference on data technologies and applications
3887,Annals of Mathematics
3888,european semantic web conference
3889,arXiv: Computational Complexity
3890,Physics of Fluids
3891,world summit on the knowledge society
3892,international conference on auditory display
3893,Journal of Symbolic Logic
3894,Interdisciplinary Sciences: Computational Life Sciences
3895,italian information retrieval workshop
3896,IEEE Transactions on Network Science and Engineering
3897,workshop on algorithms and models for the web graph
3898,Geometry & Topology
3899,"algorithmic approaches for transportation modeling, optimization, and systems"
3900,spoken language technology workshop
3901,Journal of Navigation
3902,"Mathematics of Control, Signals, and Systems"
3903,workshop on information security applications
3904,parallel computing in electrical engineering
3905,Journal of Mathematical Biology
3906,international conference on optical communication systems
3907,component-based software engineering
3908,quality of multimedia experience
3909,robot and human interactive communication
3910,Optics Letters
3911,security of ad hoc and sensor networks
3912,The Linguistic Review
3913,Bulletin Des Sciences Mathematiques
3914,Journal of Interaction Science
3915,Advances in Consumer Research
3916,Computers and The Humanities
3917,Sequential Analysis
3918,International Journal of Mathematics
3919,European Journal of Combinatorics
3920,mUX: The Journal of Mobile User Experience
3921,International Journal of Agent Technologies and Systems
3922,IEEE Transactions on Plasma Science
3923,Language and Cognitive Processes
3924,Engineering Analysis With Boundary Elements
3925,Physics Today
3926,Lingvisticae Investigationes
3927,international conference on neural computation theory and applications
3928,rewriting techniques and applications
3929,IEEE Transactions on Nanotechnology
3930,Congestive Heart Failure
3931,Journal of Mathematical Sociology
3932,Iet Computers and Digital Techniques
3933,quality of information and communications technology
3934,Hydrology and Earth System Sciences
3935,computer assisted radiology and surgery
3936,international conference on network protocols
3937,arXiv: Data Structures and Algorithms
3938,adaptive agents and multi agents systems
3939,biometrics and electronic signatures
3940,The Journal of Experimental Biology
3941,international conference on formal methods and models for co design
3942,Journal of X-ray Science and Technology
3943,Journal of Vacuum Science & Technology B
3944,"Journal of Automata, Languages and Combinatorics"
3945,Journal of the Science of Food and Agriculture
3946,Annalen der Physik
3947,Mathematical Models and Methods in Applied Sciences
3948,Procedia - Social and Behavioral Sciences
3949,Doklady Mathematics
3950,Computational Statistics
3951,FEBS Letters
3952,Psychological Inquiry
3953,Real-time Systems
3954,iasted international multi conference on wireless and optical communications
3955,Information Resources Management Journal
3956,Business & Information Systems Engineering
3957,international xml database symposium
3958,Iete Journal of Research
3959,Formal Aspects of Computing
3960,Journal of Applied Statistics
3961,international conference on e learning and games
3962,IET Biometrics
3963,"international performance, computing, and communications conference"
3964,Journal of Organic Chemistry
3965,finite-state methods and natural language processing
3966,International Journal of Embedded Systems
3967,formal methods for industrial critical systems
3968,SIAM Journal on Matrix Analysis and Applications
3969,"new technologies, mobility and security"
3970,International Journal of Computational Engineering Science
3971,Notulae Botanicae Horti Agrobotanici Cluj-napoca
3972,Computing and Visualization in Science
3973,"ad-hoc, mobile and wireless networks"
3974,Periodica Polytechnica Electrical Engineering
3975,computational intelligence communication systems and networks
3976,IEEE Robotics & Automation Magazine
3977,information processing in medical imaging
3978,Information & Management
3979,Mathematical Methods in The Applied Sciences
3980,The Journal of China Universities of Posts and Telecommunications
3981,Mathematical Control and Related Fields
3982,autonomic and trusted computing
3983,international conference on networking sensing and control
3984,International Journal of Distance Education Technologies
3985,Netnomics
3986,electro information technology
3987,conference on computer as a tool
3988,Comunicar
3989,Journal of Electronics (china)
3990,IEEE Transactions on Device and Materials Reliability
3991,International Journal of Handheld Computing Research
3992,The Journal of Neuroscience
3993,Journal of Dermatological Science
3994,SIAM Journal on Numerical Analysis
3995,Wireless Personal Communications
3996,International Journal of Approximate Reasoning
3997,AIAA Journal
3998,advanced industrial conference on telecommunications
3999,Journal of Ambient Intelligence and Humanized Computing
4000,International Journal of Medical Robotics and Computer Assisted Surgery
4001,international symposium on parallel and distributed processing and applications
4002,uncertainty in artificial intelligence
4003,european conference on cognitive ergonomics
4004,"languages, compilers, and tools for embedded systems"
4005,"Knowledge, Technology & Policy"
4006,vehicular networking conference
4007,language resources and evaluation
4008,Computational Statistics & Data Analysis
4009,australian joint conference on artificial intelligence
4010,Applied Catalysis A-general
4011,"application-specific systems, architectures, and processors"
4012,international conference on computer aided design
4013,international symposium on software reliability engineering
4014,australasian conference on information security and privacy
4015,Central European Journal of Operations Research
4016,ACM Sigsmall\/pc Notes
4017,arXiv: General Topology
4018,Optimization Letters
4019,Current Opinion in Genetics & Development
4020,Signal Processing-image Communication
4021,System
4022,congress on evolutionary computation
4023,medical image computing and computer-assisted intervention
4024,Sensor Letters
4025,Mathematical Social Sciences
4026,starting ai researchers' symposium
4027,international conference on concurrency theory
4028,Computing
4029,International Journal of Speech Technology
4030,Energy Systems
4031,Stochastic Processes and their Applications
4032,american control conference
4033,international performance computing and communications conference
4034,International Journal of Information Systems and Change Management
4035,discrete geometry for computer imagery
4036,Journal of Vacuum Science and Technology
4037,Technometrics
4038,world congress on engineering
4039,Neuroinformatics
4040,international joint conference on computer vision imaging and computer graphics theory and applications
4041,Research Letters in Signal Processing
4042,American Sociological Review
4043,distributed autonomous robotic systems
4044,International Journal of Geometric Methods in Modern Physics
4045,Physics Letters A
4046,Journal of Computational and Graphical Statistics
4047,operating systems design and implementation
4048,international conference on mobile multimedia communications
4049,international conference on mobile systems applications and services
4050,International Journal of Web-based Learning and Teaching Technologies
4051,soft methods in probability and statistics
4052,International Journal of Operations Research and Information Systems
4053,integrating technology into computer science education
4054,Biomedical Signal Processing and Control
4055,international parallel and distributed processing symposium
4056,Eurasip Journal on Wireless Communications and Networking
4057,international conference on case based reasoning
4058,"Journal of Computer Systems, Networks, and Communications"
4059,Psychnology Journal
4060,symposium on search based software engineering
4061,Simulation Modelling Practice and Theory
4062,International Journal of Security and Networks
4063,Journal of Numerical Mathematics
4064,Games and Culture
4065,mobility management and wireless access
4066,IEEE Data(base) Engineering Bulletin
4067,international symposium on information theory and its applications
4068,communication systems and networks
4069,computational intelligence and security
4070,arXiv: General Relativity and Quantum Cosmology
4071,international symposium on algorithms and computation
4072,Neuroreport
4073,"services science, management and engineering"
4074,International Journal of Web & Semantic Technology
4075,Digital Humanities Quarterly
4076,theoretical and mathematical foundations of computer science
4077,job scheduling strategies for parallel processing
4078,arXiv: Mesoscale and Nanoscale Physics
4079,Journal of Computing Sciences in Colleges
4080,Inverse Problems and Imaging
4081,International Journal of Functional Informatics and Personalised Medicine
4082,computer analysis of images and patterns
4083,Lecture Notes in Computer Science
4084,"international conference on networking, sensing and control"
4085,Computers & Geosciences
4086,Journal of Computing and Information Science in Engineering
4087,Current Anthropology
4088,Radioengineering
4089,integer programming and combinatorial optimization
4090,computational models of argument
4091,IEEE Transactions on Instrumentation and Measurement
4092,Journal of Knowledge Management
4093,Journal of Intelligent Information Systems
4094,ZooKeys
4095,international world wide web conferences
4096,Optical and Quantum Electronics
4097,programming languages meets program verification
4098,IEEE Transactions on Semiconductor Manufacturing
4099,Zeitschrift Für Interaktive Und Kooperative Medien
4100,international conference on human computer interaction
4101,Fundamenta Informaticae
4102,picture coding symposium
4103,geometric modeling and imaging
4104,IEEE Communications Letters
4105,Journal of Power Sources
4106,Journal of Computational Chemistry
4107,European Journal of Social Psychology
4108,eclipse technology exchange
4109,Performance Evaluation
4110,IEEE Transactions on Power Systems
4111,high level design validation and test
4112,brazilian symposium on neural networks
4113,Microform and Imaging Review
4114,Focus on Catalysts
4115,Applied Categorical Structures
4116,ACM Transactions on Architecture and Code Optimization
4117,International Journal of Multimedia Data Engineering and Management
4118,Journal of Reliable Intelligent Environments
4119,Infor
4120,international syposium on methodologies for intelligent systems
4121,Aequationes Mathematicae
4122,Journal of Mathematical Sciences
4123,Asia-Pacific Journal of Operational Research
4124,symposium on large spatial databases
4125,Communications in Mathematical Sciences
4126,integrated formal methods
4127,arXiv: Optimization and Control
4128,wireless on demand network systems and service
4129,Journal of Web Engineering
4130,Multiscale Modeling & Simulation
4131,eLife
4132,Journal of Mechanisms and Robotics
4133,multiple criteria decision making
4134,Interacting with Computers
4135,Sigkdd Explorations
4136,Theoretical Biology and Medical Modelling
4137,Indagationes Mathematicae
4138,IEEE Transactions on Industrial Electronics
4139,next generation information technologies and systems
4140,fundamental approaches to software engineering
4141,International Journal of Emerging Technologies in Learning
4142,International Journal of Modern Physics B
4143,international conference on software engineering
4144,Grammars
4145,International Journal on Artificial Intelligence Tools
4146,Israel Journal of Mathematics
4147,data integration in the life sciences
4148,Datenbank Rundbrief
4149,International Journal of Agricultural and Environmental Information Systems
4150,computational systems bioinformatics
4151,International Journal of Non-linear Mechanics
4152,Visual Cognition
4153,logic in computer science
4154,pattern recognition in information systems
4155,arXiv: Computer Science and Game Theory
4156,workshop on algorithms and data structures
4157,International Journal of Intelligent Information Technologies
4158,ieee symposium on information visualization
4159,Information Technology Journal
4160,Applied Ontology
4161,international conference on multimedia information networking and security
4162,international conference on pattern recognition
4163,"Synthesis Lectures on Information Concepts, Retrieval, and Services"
4164,Journal of Biomechanical Science and Engineering
4165,"Cognition, Technology & Work"
4166,IEEE Journal of Solid-state Circuits
4167,IEEE Transactions on Sustainable Energy
4168,Data Science Journal
4169,analysis and modeling of faces and gestures
4170,Finite Fields and Their Applications
4171,Profesional De La Informacion
4172,Journal of Mathematical Analysis and Applications
4173,Public Relations Review
4174,Classical and Quantum Gravity
4175,intelligence and security informatics
4176,Engineering Structures
4177,Malaysian Journal of Computer Science
4178,Applied Geography
4179,Physics Letters B
4180,arXiv: General Literature
4181,Omega-international Journal of Management Science
4182,Laser Physics Letters
4183,"Scandinavian Journal of Work, Environment & Health"
4184,Kinetic and Related Models
4185,Annals of Tourism Research
4186,principles systems and applications of ip telecommunications
4187,Cmes-computer Modeling in Engineering & Sciences
4188,Ire Transactions on Electronic Computers
4189,digital game and intelligent toy enhanced learning
4190,hot topics in operating systems
4191,international service availability symposium
4192,Journal of Field Robotics
4193,data and knowledge engineering
4194,real time technology and applications symposium
4195,european symposium on algorithms
4196,Theory of Probability and Its Applications
4197,British Journal of Educational Technology
4198,discovery science
4199,Medicine
4200,parallel distributed and network based processing
4201,Robotics and Computer-integrated Manufacturing
4202,History and Computing
4203,ieee-ras international conference on humanoid robots
4204,Statistical Methods and Applications
4205,european conference on research and advanced technology for digital libraries
4206,Microelectronics Journal
4207,ReCALL
4208,indian international conference on artificial intelligence
4209,granular computing
4210,Journal of Communication
4211,Irbm
4212,embedded and ubiquitous computing
4213,international symposium on low power electronics and design
4214,Ecological Informatics
4215,iberoamerican congress on pattern recognition
4216,International Journal of High Performance Computing Applications
4217,Circuits and Systems
4218,Assembly Automation
4219,Annual Review of Economics
4220,asian internet engineering conference
4221,Acta Physica Polonica A
4222,Mathematika
4223,Statistical Science
4224,Intelligence
4225,IEEE Transactions on Haptics
4226,Electroanalysis
4227,Journal of Nanoparticle Research
4228,International Congress Series
4229,Journal of Inherited Metabolic Disease
4230,IEEE Journal of Selected Topics in Quantum Electronics
4231,gemeinschaften in neuen medien
4232,international conference on simulation and modeling methodologies technologies and applications
4233,Communications & Strategies
4234,european conference on e-government
4235,Electronic Notes in Theoretical Computer Science
4236,rough sets and knowledge technology
4237,Archives and Museum Informatics
4238,Computer Science and Information Systems
4239,design automation and test in europe
4240,IEEE Transactions on Parallel and Distributed Systems
4241,IEEE Transactions on Evolutionary Computation
4242,Composite Structures
4243,Ksii Transactions on Internet and Information Systems
4244,Continuum Mechanics and Thermodynamics
4245,"Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing"
4246,practical aspects of declarative languages
4247,Advanced Functional Materials
4248,asian conference on intelligent information and database systems
4249,Acta Physica Polonica B
4250,Remote Sensing
4251,ACM Signum Newsletter
4252,Journal of The Korean Society for Information Management
4253,"information sciences, signal processing and their applications"
4254,Queueing Systems
4255,Electronic Journal of Probability
4256,Biomechanics and Modeling in Mechanobiology
4257,"international conference on electronics, communications, and computers"
4258,asia pacific software engineering conference
4259,Methodology and Computing in Applied Probability
